target,ligand,seed,affinity_kcal_mol,log_file
wildtype,afatinib,12,-8.798,data\processed\docking_results\wildtype\afatinib\logs\wildtype_afatinib_seed12.log
wildtype,afatinib,13,-8.823,data\processed\docking_results\wildtype\afatinib\logs\wildtype_afatinib_seed13.log
wildtype,afatinib,14,-8.488,data\processed\docking_results\wildtype\afatinib\logs\wildtype_afatinib_seed14.log
wildtype,afatinib,15,-8.495,data\processed\docking_results\wildtype\afatinib\logs\wildtype_afatinib_seed15.log
wildtype,afatinib,2,-8.615,data\processed\docking_results\wildtype\afatinib\logs\wildtype_afatinib_seed2.log
wildtype,afatinib,3,-8.631,data\processed\docking_results\wildtype\afatinib\logs\wildtype_afatinib_seed3.log
wildtype,afatinib,4,-8.557,data\processed\docking_results\wildtype\afatinib\logs\wildtype_afatinib_seed4.log
wildtype,afatinib,5,-8.706,data\processed\docking_results\wildtype\afatinib\logs\wildtype_afatinib_seed5.log
wildtype,afatinib,6,-8.694,data\processed\docking_results\wildtype\afatinib\logs\wildtype_afatinib_seed6.log
wildtype,afatinib,7,-8.525,data\processed\docking_results\wildtype\afatinib\logs\wildtype_afatinib_seed7.log
wildtype,afatinib,8,-8.856,data\processed\docking_results\wildtype\afatinib\logs\wildtype_afatinib_seed8.log
wildtype,afatinib,9,-8.802,data\processed\docking_results\wildtype\afatinib\logs\wildtype_afatinib_seed9.log
wildtype,dacomitinib,1,-8.504,data\processed\docking_results\wildtype\dacomitinib\logs\wildtype_dacomitinib_seed1.log
wildtype,dacomitinib,10,-8.445,data\processed\docking_results\wildtype\dacomitinib\logs\wildtype_dacomitinib_seed10.log
wildtype,dacomitinib,11,-8.451,data\processed\docking_results\wildtype\dacomitinib\logs\wildtype_dacomitinib_seed11.log
wildtype,dacomitinib,12,-8.446,data\processed\docking_results\wildtype\dacomitinib\logs\wildtype_dacomitinib_seed12.log
wildtype,dacomitinib,13,-8.48,data\processed\docking_results\wildtype\dacomitinib\logs\wildtype_dacomitinib_seed13.log
wildtype,dacomitinib,14,-8.554,data\processed\docking_results\wildtype\dacomitinib\logs\wildtype_dacomitinib_seed14.log
wildtype,dacomitinib,15,-8.347,data\processed\docking_results\wildtype\dacomitinib\logs\wildtype_dacomitinib_seed15.log
wildtype,dacomitinib,2,-8.48,data\processed\docking_results\wildtype\dacomitinib\logs\wildtype_dacomitinib_seed2.log
wildtype,dacomitinib,3,-8.442,data\processed\docking_results\wildtype\dacomitinib\logs\wildtype_dacomitinib_seed3.log
wildtype,dacomitinib,4,-8.495,data\processed\docking_results\wildtype\dacomitinib\logs\wildtype_dacomitinib_seed4.log
wildtype,dacomitinib,5,-8.42,data\processed\docking_results\wildtype\dacomitinib\logs\wildtype_dacomitinib_seed5.log
wildtype,dacomitinib,6,-8.454,data\processed\docking_results\wildtype\dacomitinib\logs\wildtype_dacomitinib_seed6.log
wildtype,dacomitinib,7,-8.503,data\processed\docking_results\wildtype\dacomitinib\logs\wildtype_dacomitinib_seed7.log
wildtype,dacomitinib,8,-8.437,data\processed\docking_results\wildtype\dacomitinib\logs\wildtype_dacomitinib_seed8.log
wildtype,dacomitinib,9,-8.387,data\processed\docking_results\wildtype\dacomitinib\logs\wildtype_dacomitinib_seed9.log
wildtype,erlotinib,1,-6.941,data\processed\docking_results\wildtype\erlotinib\logs\wildtype_erlotinib_seed1.log
wildtype,erlotinib,10,-7.047,data\processed\docking_results\wildtype\erlotinib\logs\wildtype_erlotinib_seed10.log
wildtype,erlotinib,11,-7.204,data\processed\docking_results\wildtype\erlotinib\logs\wildtype_erlotinib_seed11.log
wildtype,erlotinib,12,-7.164,data\processed\docking_results\wildtype\erlotinib\logs\wildtype_erlotinib_seed12.log
wildtype,erlotinib,13,-7.048,data\processed\docking_results\wildtype\erlotinib\logs\wildtype_erlotinib_seed13.log
wildtype,erlotinib,14,-7.116,data\processed\docking_results\wildtype\erlotinib\logs\wildtype_erlotinib_seed14.log
wildtype,erlotinib,15,-6.948,data\processed\docking_results\wildtype\erlotinib\logs\wildtype_erlotinib_seed15.log
wildtype,erlotinib,2,-6.945,data\processed\docking_results\wildtype\erlotinib\logs\wildtype_erlotinib_seed2.log
wildtype,erlotinib,3,-7.168,data\processed\docking_results\wildtype\erlotinib\logs\wildtype_erlotinib_seed3.log
wildtype,erlotinib,4,-7.125,data\processed\docking_results\wildtype\erlotinib\logs\wildtype_erlotinib_seed4.log
wildtype,erlotinib,5,-6.931,data\processed\docking_results\wildtype\erlotinib\logs\wildtype_erlotinib_seed5.log
wildtype,erlotinib,6,-6.815,data\processed\docking_results\wildtype\erlotinib\logs\wildtype_erlotinib_seed6.log
wildtype,erlotinib,7,-6.914,data\processed\docking_results\wildtype\erlotinib\logs\wildtype_erlotinib_seed7.log
wildtype,erlotinib,8,-7.18,data\processed\docking_results\wildtype\erlotinib\logs\wildtype_erlotinib_seed8.log
wildtype,erlotinib,9,-7.068,data\processed\docking_results\wildtype\erlotinib\logs\wildtype_erlotinib_seed9.log
wildtype,gefitinib,1,-9.097,data\processed\docking_results\wildtype\gefitinib\logs\wildtype_gefitinib_seed1.log
wildtype,gefitinib,10,-9.922,data\processed\docking_results\wildtype\gefitinib\logs\wildtype_gefitinib_seed10.log
wildtype,gefitinib,11,-9.893,data\processed\docking_results\wildtype\gefitinib\logs\wildtype_gefitinib_seed11.log
wildtype,gefitinib,12,-9.114,data\processed\docking_results\wildtype\gefitinib\logs\wildtype_gefitinib_seed12.log
wildtype,gefitinib,13,-9.383,data\processed\docking_results\wildtype\gefitinib\logs\wildtype_gefitinib_seed13.log
wildtype,gefitinib,14,-8.663,data\processed\docking_results\wildtype\gefitinib\logs\wildtype_gefitinib_seed14.log
wildtype,gefitinib,15,-8.614,data\processed\docking_results\wildtype\gefitinib\logs\wildtype_gefitinib_seed15.log
wildtype,gefitinib,2,-8.508,data\processed\docking_results\wildtype\gefitinib\logs\wildtype_gefitinib_seed2.log
wildtype,gefitinib,3,-8.612,data\processed\docking_results\wildtype\gefitinib\logs\wildtype_gefitinib_seed3.log
wildtype,gefitinib,4,-8.648,data\processed\docking_results\wildtype\gefitinib\logs\wildtype_gefitinib_seed4.log
wildtype,gefitinib,5,-9.835,data\processed\docking_results\wildtype\gefitinib\logs\wildtype_gefitinib_seed5.log
wildtype,gefitinib,6,-9.083,data\processed\docking_results\wildtype\gefitinib\logs\wildtype_gefitinib_seed6.log
wildtype,gefitinib,7,-9.259,data\processed\docking_results\wildtype\gefitinib\logs\wildtype_gefitinib_seed7.log
wildtype,gefitinib,8,-9.105,data\processed\docking_results\wildtype\gefitinib\logs\wildtype_gefitinib_seed8.log
wildtype,gefitinib,9,-9.985,data\processed\docking_results\wildtype\gefitinib\logs\wildtype_gefitinib_seed9.log
wildtype,osimertinib,1,-8.271,data\processed\docking_results\wildtype\osimertinib\logs\wildtype_osimertinib_seed1.log
wildtype,osimertinib,10,-8.184,data\processed\docking_results\wildtype\osimertinib\logs\wildtype_osimertinib_seed10.log
wildtype,osimertinib,11,-7.625,data\processed\docking_results\wildtype\osimertinib\logs\wildtype_osimertinib_seed11.log
wildtype,osimertinib,12,-8.105,data\processed\docking_results\wildtype\osimertinib\logs\wildtype_osimertinib_seed12.log
wildtype,osimertinib,13,-8.184,data\processed\docking_results\wildtype\osimertinib\logs\wildtype_osimertinib_seed13.log
wildtype,osimertinib,14,-8.249,data\processed\docking_results\wildtype\osimertinib\logs\wildtype_osimertinib_seed14.log
wildtype,osimertinib,15,-8.156,data\processed\docking_results\wildtype\osimertinib\logs\wildtype_osimertinib_seed15.log
wildtype,osimertinib,2,-8.175,data\processed\docking_results\wildtype\osimertinib\logs\wildtype_osimertinib_seed2.log
wildtype,osimertinib,3,-8.272,data\processed\docking_results\wildtype\osimertinib\logs\wildtype_osimertinib_seed3.log
wildtype,osimertinib,4,-8.24,data\processed\docking_results\wildtype\osimertinib\logs\wildtype_osimertinib_seed4.log
wildtype,osimertinib,5,-8.149,data\processed\docking_results\wildtype\osimertinib\logs\wildtype_osimertinib_seed5.log
wildtype,osimertinib,6,-8.13,data\processed\docking_results\wildtype\osimertinib\logs\wildtype_osimertinib_seed6.log
wildtype,osimertinib,7,-8.159,data\processed\docking_results\wildtype\osimertinib\logs\wildtype_osimertinib_seed7.log
wildtype,osimertinib,8,-8.243,data\processed\docking_results\wildtype\osimertinib\logs\wildtype_osimertinib_seed8.log
wildtype,osimertinib,9,-8.119,data\processed\docking_results\wildtype\osimertinib\logs\wildtype_osimertinib_seed9.log
